base_asset,mexc_symbol,status
TUT,TUTUSDT,ok:0 candles
UAI,UAIUSDT,ok:0 candles
UFD,UFDUSDT,ok:0 candles
UNC,UNCUSDT,ok:0 candles
UP,UPUSDT,ok:0 candles
URANUS,URANUSUSDT,ok:0 candles
US,USUSDT,ok:0 candles
USDUC,USDUCUSDT,ok:0 candles
USELESS,USELESSUSDT,ok:0 candles
UTYA,UTYAUSDT,ok:0 candles
VADER,VADERUSDT,ok:0 candles
VINE,VINEUSDT,ok:0 candles
VINU,VINUUSDT,ok:1095 candles
VISTA,VISTAUSDT,ok:654 candles
VOLT,VOLTUSDT,ok:1095 candles
W,WUSDT,ok:809 candles
WELF,WELFUSDT,ok:0 candles
WEN,WENUSDT,ok:876 candles
WHITE,WHITEUSDT,ok:0 candles
WHITEWHALE,WHITEWHALEUSDT,ok:0 candles
WIF,WIFUSDT,ok:915 candles
WIN,WINUSDT,ok:1095 candles
WKC,WKCUSDT,ok:0 candles
X,XUSDT,ok:0 candles
XP,XPUSDT,ok:0 candles
YFI,YFIUSDT,ok:1095 candles
YURU,YURUUSDT,ok:0 candles
ZEN,ZENUSDT,ok:1095 candles
ZEREBRO,ZEREBROUSDT,ok:0 candles
ZERO,ZEROUSDT,ok:0 candles
ZEUS,ZEUSUSDT,ok:808 candles
ZSWAP,ZSWAPUSDT,ok:0 candles
ZYN,ZYNUSDT,ok:783 candles
我踏马来了,我踏马来了USDT,ok:0 candles
龙虾,龙虾USDT,ok:0 candles
AB,ABUSDT,ok:1095 candles
AIC,AICUSDT,ok:650 candles
BOBER,BOBERUSDT,ok:380 candles
CATI,CATIUSDT,ok:639 candles
FOG,FOGUSDT,ok:1051 candles
GOHOME,GOHOMEUSDT,ok:400 candles
HMSTR,HMSTRUSDT,ok:633 candles
ICECREAM,ICECREAMUSDT,ok:400 candles
KASPY,KASPYUSDT,ok:598 candles
KATA,KATAUSDT,ok:1095 candles
LB,LBUSDT,ok:717 candles
LOFI,LOFIUSDT,ok:400 candles
MAGATRUMP,MAGATRUMPUSDT,ok:838 candles
S,SUSDT,ok:400 candles
SAI,SAIUSDT,ok:663 candles
SQGROW,SQGROWUSDT,ok:635 candles
TRT,TRTUSDT,ok:400 candles
UAI,UAIUSDT,ok:227 candles
WOJAK,WOJAKUSDT,ok:141 candles
ZERO,ZEROUSDT,ok:1 candles
